TOTAL_REVENUE,NUMBER_OF_UNITS_SOLD,NUMBER_OF_SALES,UNITS_SOLD,HOUR_OF_DAY,DAY_OF_WEEK,TIME_BUCKET,PRODUCT_DETAIL,PRODUCT_TYPE,STORE_LOCATION,PRODUCT_CATEGORY
30.00,8,8,8,10,Sat,morning,Jumbo Savory Scone,Scone,Astoria,Bakery
63.00,21,15,21,10,Sat,morning,Serenity Green Tea Lg,Brewed Green tea,Astoria,Tea
72.50,29,18,29,10,Sat,morning,Our Old Time Diner Blend Rg,Drip coffee,Hell's Kitchen,Coffee
35.75,11,11,11,10,Sat,morning,Hazelnut Biscotti,Biscotti,Hell's Kitchen,Bakery
115.50,33,20,33,10,Sat,morning,Brazilian Lg,Organic brewed coffee,Hell's Kitchen,Coffee
60.00,16,11,16,11,Sat,morning,Cappuccino,Barista Espresso,Hell's Kitchen,Coffee
21.00,6,6,6,11,Sat,morning,Ginger Biscotti,Biscotti,Hell's Kitchen,Bakery
33.15,13,8,13,11,Sat,morning,Spicy Eye Opener Chai Rg,Brewed Chai tea,Hell's Kitchen,Tea
35.20,16,10,16,11,Sat,morning,Brazilian Sm,Organic brewed coffee,Hell's Kitchen,Coffee
51.00,17,13,17,11,Sat,morning,Our Old Time Diner Blend Lg,Drip coffee,Hell's Kitchen,Coffee
52.50,15,10,15,11,Sat,morning,Ethiopia Lg,Gourmet brewed coffee,Astoria,Coffee
87.50,25,14,25,11,Sat,morning,Ethiopia Lg,Gourmet brewed coffee,Hell's Kitchen,Coffee
30.00,10,6,10,11,Sat,morning,Traditional Blend Chai Lg,Brewed Chai tea,Astoria,Tea
82.50,22,13,22,11,Sat,morning,Sustainably Grown Organic Rg,Hot chocolate,Astoria,Drinking Chocolate
76.50,18,14,18,11,Sat,morning,Cappuccino Lg,Barista Espresso,Astoria,Coffee
20.00,8,6,8,11,Sat,morning,Columbian Medium Roast Rg,Gourmet brewed coffee,Lower Manhattan,Coffee
17.50,5,5,5,11,Sat,morning,Chocolate Chip Biscotti,Biscotti,Lower Manhattan,Bakery
83.70,27,17,27,11,Sat,morning,Jamaican Coffee River Rg,Premium brewed coffee,Hell's Kitchen,Coffee
11.25,3,3,3,12,Sat,afternoon,Almond Croissant,Pastry,Lower Manhattan,Bakery
45.00,12,11,12,12,Sat,afternoon,Chocolate Croissant,Pastry,Astoria,Bakery
37.50,15,10,15,12,Sat,afternoon,English Breakfast Rg,Brewed Black tea,Astoria,Tea
52.50,21,15,21,12,Sat,afternoon,Morning Sunrise Chai Rg,Brewed Chai tea,Astoria,Tea
17.50,5,5,5,13,Sat,afternoon,Chocolate Chip Biscotti,Biscotti,Hell's Kitchen,Bakery
85.50,18,11,18,13,Sat,afternoon,Sustainably Grown Organic Lg,Hot chocolate,Astoria,Drinking Chocolate
31.50,9,8,9,13,Sat,afternoon,Chocolate Chip Biscotti,Biscotti,Astoria,Bakery
21.00,7,5,7,13,Sat,afternoon,Serenity Green Tea Lg,Brewed Green tea,Astoria,Tea
25.00,10,8,10,13,Sat,afternoon,Lemon Grass Rg,Brewed herbal tea,Astoria,Tea
34.10,11,8,11,13,Sat,afternoon,Spicy Eye Opener Chai Lg,Brewed Chai tea,Astoria,Tea
54.00,18,13,18,13,Sat,afternoon,Brazilian Rg,Organic brewed coffee,Astoria,Coffee
108.00,24,14,24,13,Sat,afternoon,Dark chocolate Lg,Hot chocolate,Astoria,Drinking Chocolate
31.85,13,8,13,13,Sat,afternoon,Jamaican Coffee River Sm,Premium brewed coffee,Hell's Kitchen,Coffee
45.00,15,11,15,13,Sat,afternoon,English Breakfast Lg,Brewed Black tea,Hell's Kitchen,Tea
30.00,10,7,10,13,Sat,afternoon,Traditional Blend Chai Lg,Brewed Chai tea,Hell's Kitchen,Tea
30.00,8,7,8,13,Sat,afternoon,Sustainably Grown Organic Rg,Hot chocolate,Astoria,Drinking Chocolate
47.50,19,14,19,14,Sat,afternoon,Peppermint Rg,Brewed herbal tea,Astoria,Tea
37.50,15,10,15,14,Sat,afternoon,Earl Grey Rg,Brewed Black tea,Astoria,Tea
19.50,6,5,6,14,Sat,afternoon,Hazelnut Biscotti,Biscotti,Astoria,Bakery
22.00,11,6,11,14,Sat,afternoon,Our Old Time Diner Blend Sm,Drip coffee,Astoria,Coffee
30.00,10,8,10,14,Sat,afternoon,English Breakfast Lg,Brewed Black tea,Astoria,Tea
36.00,12,7,12,14,Sat,afternoon,Earl Grey Lg,Brewed Black tea,Astoria,Tea
39.00,13,8,13,15,Sat,afternoon,Brazilian Rg,Organic brewed coffee,Hell's Kitchen,Coffee
48.45,19,12,19,15,Sat,afternoon,Spicy Eye Opener Chai Rg,Brewed Chai tea,Astoria,Tea
58.90,19,14,19,15,Sat,afternoon,Spicy Eye Opener Chai Lg,Brewed Chai tea,Astoria,Tea
45.50,13,11,13,15,Sat,afternoon,Ethiopia Lg,Gourmet brewed coffee,Hell's Kitchen,Coffee
27.00,9,6,9,15,Sat,afternoon,Serenity Green Tea Lg,Brewed Green tea,Hell's Kitchen,Tea
46.50,15,9,15,16,Sat,evening,Jamaican Coffee River Rg,Premium brewed coffee,Astoria,Coffee
35.20,16,12,16,16,Sat,evening,Brazilian Sm,Organic brewed coffee,Astoria,Coffee
30.00,10,8,10,16,Sat,evening,Peppermint Lg,Brewed herbal tea,Hell's Kitchen,Tea
42.50,17,11,17,16,Sat,evening,Our Old Time Diner Blend Rg,Drip coffee,Hell's Kitchen,Coffee
52.70,17,10,17,16,Sat,evening,Spicy Eye Opener Chai Lg,Brewed Chai tea,Astoria,Tea
66.00,22,14,22,16,Sat,evening,Espresso shot,Barista Espresso,Astoria,Coffee
41.25,11,11,11,17,Sat,evening,Latte,Barista Espresso,Astoria,Coffee
30.00,10,6,10,17,Sat,evening,Earl Grey Lg,Brewed Black tea,Astoria,Tea
11.25,3,3,3,17,Sat,evening,Almond Croissant,Pastry,Hell's Kitchen,Bakery
57.00,19,12,19,18,Sat,evening,Earl Grey Lg,Brewed Black tea,Astoria,Tea
39.00,13,9,13,18,Sat,evening,Serenity Green Tea Lg,Brewed Green tea,Astoria,Tea
50.00,20,13,20,18,Sat,evening,Earl Grey Rg,Brewed Black tea,Astoria,Tea
4.80,6,4,6,18,Sat,evening,Chocolate syrup,Regular syrup,Hell's Kitchen,Flavours
76.00,16,12,16,18,Sat,evening,Sustainably Grown Organic Lg,Hot chocolate,Astoria,Drinking Chocolate
39.00,13,10,13,18,Sat,evening,Lemon Grass Lg,Brewed herbal tea,Astoria,Tea
60.00,24,15,24,18,Sat,evening,Morning Sunrise Chai Rg,Brewed Chai tea,Astoria,Tea
38.00,19,11,19,18,Sat,evening,Our Old Time Diner Blend Sm,Drip coffee,Hell's Kitchen,Coffee
42.00,12,9,12,18,Sat,evening,Dark chocolate Rg,Hot chocolate,Astoria,Drinking Chocolate
51.00,17,10,17,18,Sat,evening,Espresso shot,Barista Espresso,Astoria,Coffee
51.00,12,8,12,18,Sat,evening,Latte Rg,Barista Espresso,Astoria,Coffee
27.50,11,9,11,18,Sat,evening,Lemon Grass Rg,Brewed herbal tea,Astoria,Tea
49.60,16,10,16,18,Sat,evening,Jamaican Coffee River Rg,Premium brewed coffee,Astoria,Coffee
40.00,16,11,16,18,Sat,evening,Traditional Blend Chai Rg,Brewed Chai tea,Astoria,Tea
39.00,13,8,13,19,Sat,evening,Ethiopia Rg,Gourmet brewed coffee,Astoria,Coffee
45.00,12,7,12,19,Sat,evening,Sustainably Grown Organic Rg,Hot chocolate,Hell's Kitchen,Drinking Chocolate
15.00,5,4,5,19,Sat,evening,Ethiopia Rg,Gourmet brewed coffee,Hell's Kitchen,Coffee
20.00,8,6,8,19,Sat,evening,Morning Sunrise Chai Rg,Brewed Chai tea,Astoria,Tea
24.50,7,5,7,19,Sat,evening,Ethiopia Lg,Gourmet brewed coffee,Hell's Kitchen,Coffee
39.00,13,10,13,19,Sat,evening,Traditional Blend Chai Lg,Brewed Chai tea,Astoria,Tea
20.00,8,5,8,19,Sat,evening,English Breakfast Rg,Brewed Black tea,Hell's Kitchen,Tea
30.00,12,9,12,19,Sat,evening,Serenity Green Tea Rg,Brewed Green tea,Hell's Kitchen,Tea
4.90,2,1,2,20,Sat,night,Jamaican Coffee River Sm,Premium brewed coffee,Hell's Kitchen,Coffee
7.50,3,2,3,20,Sat,night,Peppermint Rg,Brewed herbal tea,Hell's Kitchen,Tea
9.00,3,2,3,20,Sat,night,Espresso shot,Barista Espresso,Hell's Kitchen,Coffee
62.50,25,17,25,07,Sun,morning,English Breakfast Rg,Brewed Black tea,Hell's Kitchen,Tea
20.00,10,9,10,07,Sun,morning,Columbian Medium Roast Sm,Gourmet brewed coffee,Hell's Kitchen,Coffee
86.25,23,16,23,07,Sun,morning,Latte,Barista Espresso,Hell's Kitchen,Coffee
105.00,28,17,28,07,Sun,morning,Latte,Barista Espresso,Astoria,Coffee
42.00,14,11,14,07,Sun,morning,Serenity Green Tea Lg,Brewed Green tea,Hell's Kitchen,Tea
9.60,12,8,12,07,Sun,morning,Sugar Free Vanilla syrup,Sugar free syrup,Hell's Kitchen,Flavours
36.00,2,2,2,07,Sun,morning,Brazilian - Organic,Organic Beans,Lower Manhattan,Coffee beans
47.50,19,12,19,17,Thu,evening,Lemon Grass Rg,Brewed herbal tea,Lower Manhattan,Tea
37.50,15,10,15,18,Thu,evening,English Breakfast Rg,Brewed Black tea,Astoria,Tea
35.00,14,9,14,19,Thu,evening,Morning Sunrise Chai Rg,Brewed Chai tea,Astoria,Tea
135.00,45,30,45,09,Fri,morning,Serenity Green Tea Lg,Brewed Green tea,Hell's Kitchen,Tea
68.00,17,14,17,15,Fri,afternoon,Morning Sunrise Chai Lg,Brewed Chai tea,Astoria,Tea
110.50,26,16,26,07,Sat,morning,Cappuccino Lg,Barista Espresso,Lower Manhattan,Coffee
97.75,23,15,23,08,Sat,morning,Latte Rg,Barista Espresso,Hell's Kitchen,Coffee
56.00,28,16,28,09,Sat,morning,Columbian Medium Roast Sm,Gourmet brewed coffee,Hell's Kitchen,Coffee
90.00,24,16,24,09,Sat,morning,Cappuccino,Barista Espresso,Hell's Kitchen,Coffee
116.25,31,31,31,10,Sat,morning,Chocolate Croissant,Pastry,Hell's Kitchen,Bakery
75.00,20,12,20,10,Sat,morning,Jamaican Coffee River Lg,Premium brewed coffee,Lower Manhattan,Coffee
78.00,26,20,26,10,Sat,morning,Brazilian Rg,Organic brewed coffee,Hell's Kitchen,Coffee
70.00,28,16,28,10,Sat,morning,Our Old Time Diner Blend Rg,Drip coffee,Lower Manhattan,Coffee
44.10,18,11,18,12,Sat,afternoon,Jamaican Coffee River Sm,Premium brewed coffee,Astoria,Coffee
12.00,6,4,6,15,Sat,afternoon,Columbian Medium Roast Sm,Gourmet brewed coffee,Astoria,Coffee
52.50,14,11,14,16,Sat,evening,Sustainably Grown Organic Rg,Hot chocolate,Astoria,Drinking Chocolate
47.50,19,12,19,18,Sat,evening,Serenity Green Tea Rg,Brewed Green tea,Hell's Kitchen,Tea
99.75,21,15,21,07,Sun,morning,Sustainably Grown Organic Lg,Hot chocolate,Hell's Kitchen,Drinking Chocolate
108.00,36,21,36,10,Sat,morning,Traditional Blend Chai Lg,Brewed Chai tea,Lower Manhattan,Tea
30.00,15,11,15,07,Sun,morning,Our Old Time Diner Blend Sm,Drip coffee,Astoria,Coffee
71.25,19,13,19,07,Sun,morning,Cappuccino,Barista Espresso,Lower Manhattan,Coffee
15.20,19,13,19,07,Sun,morning,Carmel syrup,Regular syrup,Lower Manhattan,Flavours
37.20,12,9,12,07,Sun,morning,Jamaican Coffee River Rg,Premium brewed coffee,Hell's Kitchen,Coffee
40.00,16,11,16,07,Sun,morning,Traditional Blend Chai Rg,Brewed Chai tea,Astoria,Tea
78.75,21,14,21,07,Sun,morning,Sustainably Grown Organic Rg,Hot chocolate,Lower Manhattan,Drinking Chocolate
49.00,14,9,14,07,Sun,morning,Ethiopia Lg,Gourmet brewed coffee,Hell's Kitchen,Coffee
105.00,35,20,35,07,Sun,morning,Brazilian Rg,Organic brewed coffee,Lower Manhattan,Coffee
63.70,26,16,26,07,Sun,morning,Jamaican Coffee River Sm,Premium brewed coffee,Lower Manhattan,Coffee
36.56,11,11,11,07,Sun,morning,Hazelnut Biscotti,Biscotti,Lower Manhattan,Bakery
66.00,22,11,22,07,Sun,morning,Espresso shot,Barista Espresso,Lower Manhattan,Coffee
60.00,20,15,20,08,Sun,morning,English Breakfast Lg,Brewed Black tea,Lower Manhattan,Tea
72.00,24,14,24,08,Sun,morning,Peppermint Lg,Brewed herbal tea,Hell's Kitchen,Tea
52.50,15,15,15,08,Sun,morning,Ginger Biscotti,Biscotti,Hell's Kitchen,Bakery
52.70,17,11,17,08,Sun,morning,Jamaican Coffee River Rg,Premium brewed coffee,Lower Manhattan,Coffee
42.00,2,2,2,08,Sun,morning,Ethiopia,Gourmet Beans,Lower Manhattan,Coffee beans
38.00,19,14,19,08,Sun,morning,Our Old Time Diner Blend Sm,Drip coffee,Lower Manhattan,Coffee
60.00,20,13,20,08,Sun,morning,Espresso shot,Barista Espresso,Lower Manhattan,Coffee
16.00,20,14,20,08,Sun,morning,Hazelnut syrup,Regular syrup,Lower Manhattan,Flavours
48.00,24,18,24,08,Sun,morning,Our Old Time Diner Blend Sm,Drip coffee,Astoria,Coffee
37.50,15,13,15,08,Sun,morning,Morning Sunrise Chai Rg,Brewed Chai tea,Astoria,Tea
80.60,26,20,26,08,Sun,morning,Spicy Eye Opener Chai Lg,Brewed Chai tea,Astoria,Tea
114.00,38,24,38,08,Sun,morning,Earl Grey Lg,Brewed Black tea,Hell's Kitchen,Tea
115.50,33,23,33,08,Sun,morning,Brazilian Lg,Organic brewed coffee,Hell's Kitchen,Coffee
93.00,31,20,31,08,Sun,morning,Ethiopia Rg,Gourmet brewed coffee,Astoria,Coffee
9.25,1,1,1,08,Sun,morning,Serenity Green Tea,Green tea,Astoria,Loose Tea
94.50,27,15,27,08,Sun,morning,Ethiopia Lg,Gourmet brewed coffee,Lower Manhattan,Coffee
68.20,22,13,22,08,Sun,morning,Spicy Eye Opener Chai Lg,Brewed Chai tea,Lower Manhattan,Tea
168.00,42,25,42,08,Sun,morning,Morning Sunrise Chai Lg,Brewed Chai tea,Lower Manhattan,Tea
30.00,10,10,10,08,Sun,morning,Oatmeal Scone,Scone,Lower Manhattan,Bakery
79.05,31,21,31,08,Sun,morning,Spicy Eye Opener Chai Rg,Brewed Chai tea,Astoria,Tea
36.00,8,7,8,08,Sun,morning,Scottish Cream Scone ,Scone,Astoria,Bakery
66.50,19,13,19,08,Sun,morning,Dark chocolate Rg,Hot chocolate,Astoria,Drinking Chocolate
70.00,28,20,28,08,Sun,morning,Lemon Grass Rg,Brewed herbal tea,Lower Manhattan,Tea
65.00,26,21,26,08,Sun,morning,Columbian Medium Roast Rg,Gourmet brewed coffee,Hell's Kitchen,Coffee
17.90,2,2,2,08,Sun,morning,Traditional Blend Chai,Chai tea,Hell's Kitchen,Loose Tea
57.20,26,14,26,08,Sun,morning,Ethiopia Sm,Gourmet brewed coffee,Lower Manhattan,Coffee
111.00,37,24,37,08,Sun,morning,Ethiopia Rg,Gourmet brewed coffee,Lower Manhattan,Coffee
130.20,42,24,42,08,Sun,morning,Jamaican Coffee River Rg,Premium brewed coffee,Astoria,Coffee
135.00,30,23,30,08,Sun,morning,Dark chocolate Lg,Hot chocolate,Astoria,Drinking Chocolate
16.80,21,15,21,08,Sun,morning,Hazelnut syrup,Regular syrup,Hell's Kitchen,Flavours
45.00,18,11,18,08,Sun,morning,English Breakfast Rg,Brewed Black tea,Hell's Kitchen,Tea
105.00,35,23,35,08,Sun,morning,English Breakfast Lg,Brewed Black tea,Hell's Kitchen,Tea
75.00,25,15,25,08,Sun,morning,Traditional Blend Chai Lg,Brewed Chai tea,Lower Manhattan,Tea
90.25,19,13,19,08,Sun,morning,Sustainably Grown Organic Lg,Hot chocolate,Lower Manhattan,Drinking Chocolate
19.50,6,6,6,08,Sun,morning,Cranberry Scone,Scone,Lower Manhattan,Bakery
45.00,15,12,15,08,Sun,morning,English Breakfast Lg,Brewed Black tea,Astoria,Tea
69.00,23,14,23,08,Sun,morning,Earl Grey Lg,Brewed Black tea,Lower Manhattan,Tea
67.50,27,18,27,08,Sun,morning,Serenity Green Tea Rg,Brewed Green tea,Hell's Kitchen,Tea
22.50,1,1,1,08,Sun,morning,Organic Decaf Blend,Organic Beans,Lower Manhattan,Coffee beans
33.00,11,7,11,08,Sun,morning,Espresso shot,Barista Espresso,Astoria,Coffee
45.00,15,11,15,08,Sun,morning,Serenity Green Tea Lg,Brewed Green tea,Hell's Kitchen,Tea
90.00,24,16,24,08,Sun,morning,Latte,Barista Espresso,Lower Manhattan,Coffee
9.60,12,7,12,08,Sun,morning,Carmel syrup,Regular syrup,Lower Manhattan,Flavours
62.50,25,14,25,08,Sun,morning,Our Old Time Diner Blend Rg,Drip coffee,Lower Manhattan,Coffee
38.50,11,11,11,08,Sun,morning,Ginger Biscotti,Biscotti,Lower Manhattan,Bakery
65.10,21,14,21,08,Sun,morning,Spicy Eye Opener Chai Lg,Brewed Chai tea,Hell's Kitchen,Tea
78.75,21,16,21,08,Sun,morning,Latte,Barista Espresso,Astoria,Coffee
75.00,30,20,30,08,Sun,morning,Traditional Blend Chai Rg,Brewed Chai tea,Hell's Kitchen,Tea
91.00,26,15,26,09,Sun,morning,Ethiopia Lg,Gourmet brewed coffee,Lower Manhattan,Coffee
81.00,27,16,27,09,Sun,morning,Traditional Blend Chai Lg,Brewed Chai tea,Lower Manhattan,Tea
32.00,16,12,16,09,Sun,morning,Our Old Time Diner Blend Sm,Drip coffee,Lower Manhattan,Coffee
22.40,28,17,28,09,Sun,morning,Carmel syrup,Regular syrup,Lower Manhattan,Flavours
157.50,42,27,42,09,Sun,morning,Jamaican Coffee River Lg,Premium brewed coffee,Lower Manhattan,Coffee
140.25,33,21,33,09,Sun,morning,Latte Rg,Barista Espresso,Lower Manhattan,Coffee
36.00,2,1,2,09,Sun,morning,Brazilian - Organic,Organic Beans,Lower Manhattan,Coffee beans
54.00,18,12,18,09,Sun,morning,Lemon Grass Lg,Brewed herbal tea,Astoria,Tea
96.00,32,22,32,09,Sun,morning,English Breakfast Lg,Brewed Black tea,Hell's Kitchen,Tea
40.80,16,11,16,09,Sun,morning,Spicy Eye Opener Chai Rg,Brewed Chai tea,Hell's Kitchen,Tea
70.00,20,20,20,09,Sun,morning,Croissant,Pastry,Hell's Kitchen,Bakery
62.00,20,11,20,09,Sun,morning,Jamaican Coffee River Rg,Premium brewed coffee,Lower Manhattan,Coffee
84.00,28,17,28,09,Sun,morning,Columbian Medium Roast Lg,Gourmet brewed coffee,Lower Manhattan,Coffee
60.00,24,15,24,09,Sun,morning,Columbian Medium Roast Rg,Gourmet brewed coffee,Hell's Kitchen,Coffee
52.80,24,15,24,09,Sun,morning,Brazilian Sm,Organic brewed coffee,Hell's Kitchen,Coffee
116.25,31,31,31,09,Sun,morning,Chocolate Croissant,Pastry,Hell's Kitchen,Bakery
107.50,43,27,43,09,Sun,morning,Lemon Grass Rg,Brewed herbal tea,Astoria,Tea
35.00,10,9,10,09,Sun,morning,Croissant,Pastry,Astoria,Bakery
28.00,14,8,14,09,Sun,morning,Columbian Medium Roast Sm,Gourmet brewed coffee,Hell's Kitchen,Coffee
40.00,16,12,16,09,Sun,morning,Earl Grey Rg,Brewed Black tea,Astoria,Tea
48.45,19,12,19,09,Sun,morning,Spicy Eye Opener Chai Rg,Brewed Chai tea,Astoria,Tea
60.00,20,14,20,09,Sun,morning,Brazilian Rg,Organic brewed coffee,Lower Manhattan,Coffee
44.25,3,3,3,09,Sun,morning,Espresso Roast,Espresso Beans,Lower Manhattan,Coffee beans
42.19,11,11,11,09,Sun,morning,Chocolate Croissant,Pastry,Lower Manhattan,Bakery
24.00,12,7,12,09,Sun,morning,Columbian Medium Roast Sm,Gourmet brewed coffee,Lower Manhattan,Coffee
38.50,11,11,11,09,Sun,morning,Ginger Biscotti,Biscotti,Lower Manhattan,Bakery
47.50,19,12,19,09,Sun,morning,Traditional Blend Chai Rg,Brewed Chai tea,Lower Manhattan,Tea
180.00,40,24,40,09,Sun,morning,Dark chocolate Lg,Hot chocolate,Lower Manhattan,Drinking Chocolate
78.00,26,18,26,09,Sun,morning,Brazilian Rg,Organic brewed coffee,Hell's Kitchen,Coffee
9.50,1,1,1,09,Sun,morning,Morning Sunrise Chai,Chai tea,Hell's Kitchen,Loose Tea
92.50,37,21,37,09,Sun,morning,Columbian Medium Roast Rg,Gourmet brewed coffee,Lower Manhattan,Coffee
108.50,31,23,31,09,Sun,morning,Ethiopia Lg,Gourmet brewed coffee,Hell's Kitchen,Coffee
118.75,25,18,25,09,Sun,morning,Sustainably Grown Organic Lg,Hot chocolate,Hell's Kitchen,Drinking Chocolate
35.00,10,10,10,09,Sun,morning,Chocolate Chip Biscotti,Biscotti,Hell's Kitchen,Bakery
20.45,1,1,1,09,Sun,morning,Primo Espresso Roast,Espresso Beans,Hell's Kitchen,Coffee beans
37.40,17,16,17,09,Sun,morning,Brazilian Sm,Organic brewed coffee,Astoria,Coffee
58.90,19,13,19,09,Sun,morning,Jamaican Coffee River Rg,Premium brewed coffee,Astoria,Coffee
39.00,12,12,12,09,Sun,morning,Cranberry Scone,Scone,Astoria,Bakery
93.00,31,20,31,09,Sun,morning,Lemon Grass Lg,Brewed herbal tea,Hell's Kitchen,Tea
22.50,6,6,6,09,Sun,morning,Almond Croissant,Pastry,Hell's Kitchen,Bakery
45.00,18,12,18,10,Sun,morning,Earl Grey Rg,Brewed Black tea,Lower Manhattan,Tea
46.88,12,12,12,10,Sun,morning,Jumbo Savory Scone,Scone,Lower Manhattan,Bakery
57.00,19,12,19,10,Sun,morning,Columbian Medium Roast Lg,Gourmet brewed coffee,Astoria,Coffee
75.00,25,16,25,10,Sun,morning,Columbian Medium Roast Lg,Gourmet brewed coffee,Hell's Kitchen,Coffee
81.00,27,15,27,10,Sun,morning,Espresso shot,Barista Espresso,Lower Manhattan,Coffee
15.20,19,14,19,10,Sun,morning,Carmel syrup,Regular syrup,Lower Manhattan,Flavours
60.00,24,16,24,10,Sun,morning,Earl Grey Rg,Brewed Black tea,Astoria,Tea
93.00,31,18,31,10,Sun,morning,Earl Grey Lg,Brewed Black tea,Lower Manhattan,Tea
42.50,17,12,17,10,Sun,morning,Serenity Green Tea Rg,Brewed Green tea,Hell's Kitchen,Tea
70.00,20,20,20,10,Sun,morning,Croissant,Pastry,Hell's Kitchen,Bakery
28.05,11,8,11,10,Sun,morning,Spicy Eye Opener Chai Rg,Brewed Chai tea,Astoria,Tea
83.70,27,18,27,10,Sun,morning,Spicy Eye Opener Chai Lg,Brewed Chai tea,Astoria,Tea
131.75,31,20,31,10,Sun,morning,Latte Rg,Barista Espresso,Hell's Kitchen,Coffee
147.00,42,25,42,10,Sun,morning,Ethiopia Lg,Gourmet brewed coffee,Hell's Kitchen,Coffee
18.40,23,13,23,10,Sun,morning,Hazelnut syrup,Regular syrup,Lower Manhattan,Flavours
56.00,14,10,14,10,Sun,morning,Morning Sunrise Chai Lg,Brewed Chai tea,Astoria,Tea
87.00,29,20,29,10,Sun,morning,Espresso shot,Barista Espresso,Hell's Kitchen,Coffee
24.00,30,17,30,10,Sun,morning,Chocolate syrup,Regular syrup,Hell's Kitchen,Flavours
55.25,17,17,17,10,Sun,morning,Cranberry Scone,Scone,Hell's Kitchen,Bakery
15.20,2,2,2,10,Sun,morning,Sustainably Grown Organic,Organic Chocolate,Hell's Kitchen,Packaged Chocolate
51.00,17,17,17,10,Sun,morning,Oatmeal Scone,Scone,Hell's Kitchen,Bakery
120.00,32,32,32,10,Sun,morning,Chocolate Croissant,Pastry,Hell's Kitchen,Bakery
77.50,31,19,31,10,Sun,morning,Morning Sunrise Chai Rg,Brewed Chai tea,Lower Manhattan,Tea
50.00,20,15,20,10,Sun,morning,Columbian Medium Roast Rg,Gourmet brewed coffee,Hell's Kitchen,Coffee
50.00,25,14,25,10,Sun,morning,Our Old Time Diner Blend Sm,Drip coffee,Lower Manhattan,Coffee
58.90,19,15,19,10,Sun,morning,Jamaican Coffee River Rg,Premium brewed coffee,Hell's Kitchen,Coffee
51.00,17,12,17,10,Sun,morning,Lemon Grass Lg,Brewed herbal tea,Hell's Kitchen,Tea
95.00,38,24,38,10,Sun,morning,English Breakfast Rg,Brewed Black tea,Lower Manhattan,Tea
51.00,17,12,17,10,Sun,morning,Our Old Time Diner Blend Lg,Drip coffee,Hell's Kitchen,Coffee
75.00,25,17,25,10,Sun,morning,English Breakfast Lg,Brewed Black tea,Lower Manhattan,Tea
18.50,2,2,2,10,Sun,morning,Serenity Green Tea,Green tea,Lower Manhattan,Loose Tea
45.00,18,12,18,10,Sun,morning,English Breakfast Rg,Brewed Black tea,Hell's Kitchen,Tea
90.00,30,20,30,10,Sun,morning,Brazilian Rg,Organic brewed coffee,Hell's Kitchen,Coffee
92.50,37,22,37,10,Sun,morning,Traditional Blend Chai Rg,Brewed Chai tea,Hell's Kitchen,Tea
45.50,13,13,13,10,Sun,morning,Ginger Biscotti,Biscotti,Hell's Kitchen,Bakery
36.00,18,11,18,10,Sun,morning,Columbian Medium Roast Sm,Gourmet brewed coffee,Lower Manhattan,Coffee
101.25,27,18,27,10,Sun,morning,Latte,Barista Espresso,Hell's Kitchen,Coffee
14.75,1,1,1,10,Sun,morning,Espresso Roast,Espresso Beans,Astoria,Coffee beans
50.00,20,16,20,10,Sun,morning,Morning Sunrise Chai Rg,Brewed Chai tea,Astoria,Tea
41.65,17,10,17,10,Sun,morning,Jamaican Coffee River Sm,Premium brewed coffee,Hell's Kitchen,Coffee
75.00,25,17,25,10,Sun,morning,Traditional Blend Chai Lg,Brewed Chai tea,Hell's Kitchen,Tea
8.95,1,1,1,10,Sun,morning,Traditional Blend Chai,Chai tea,Astoria,Loose Tea
57.50,23,15,23,10,Sun,morning,Columbian Medium Roast Rg,Gourmet brewed coffee,Lower Manhattan,Coffee
120.00,40,23,40,10,Sun,morning,Brazilian Rg,Organic brewed coffee,Astoria,Coffee
24.00,8,8,8,10,Sun,morning,Oatmeal Scone,Scone,Lower Manhattan,Bakery
51.65,17,15,17,10,Sun,morning,Ginger Scone,Scone,Lower Manhattan,Bakery
68.20,31,21,31,10,Sun,morning,Ethiopia Sm,Gourmet brewed coffee,Lower Manhattan,Coffee
60.00,24,16,24,10,Sun,morning,Columbian Medium Roast Rg,Gourmet brewed coffee,Astoria,Coffee
153.00,36,24,36,10,Sun,morning,Cappuccino Lg,Barista Espresso,Lower Manhattan,Coffee
24.00,30,17,30,10,Sun,morning,Sugar Free Vanilla syrup,Sugar free syrup,Lower Manhattan,Flavours
27.90,9,7,9,11,Sun,morning,Jamaican Coffee River Rg,Premium brewed coffee,Lower Manhattan,Coffee
35.00,10,10,10,11,Sun,morning,Ginger Biscotti,Biscotti,Hell's Kitchen,Bakery
18.00,9,5,9,11,Sun,morning,Our Old Time Diner Blend Sm,Drip coffee,Hell's Kitchen,Coffee
36.00,12,8,12,11,Sun,morning,Our Old Time Diner Blend Lg,Drip coffee,Astoria,Coffee
36.00,8,7,8,11,Sun,morning,Scottish Cream Scone ,Scone,Astoria,Bakery
34.30,14,10,14,11,Sun,morning,Jamaican Coffee River Sm,Premium brewed coffee,Astoria,Coffee
38.25,9,7,9,11,Sun,morning,Latte Rg,Barista Espresso,Astoria,Coffee
29.75,7,6,7,11,Sun,morning,Latte Rg,Barista Espresso,Lower Manhattan,Coffee
9.60,12,6,12,11,Sun,morning,Sugar Free Vanilla syrup,Sugar free syrup,Lower Manhattan,Flavours
